gene,signature,cluster
DCTN6,"Primary (KRAS WT, MSS, LS)",G1
DDRGK1,"Primary (KRAS WT, MSS, LS)",G1
DECR1,"Primary (KRAS WT, MSS, LS)",G1
DENND3,"Primary (KRAS WT, MSS, LS)",G1
DEPTOR,"Primary (KRAS WT, MSS, LS)",G1
DERL1,"Primary (KRAS WT, MSS, LS)",G1
DGAT1,"Primary (KRAS WT, MSS, LS)",G1
DPY19L4,"Primary (KRAS WT, MSS, LS)",G1
DSCC1,"Primary (KRAS WT, MSS, LS)",G1
DSTN,"Primary (KRAS WT, MSS, LS)",G1
DTD1,"Primary (KRAS WT, MSS, LS)",G1
DZANK1,"Primary (KRAS WT, MSS, LS)",G1
E2F5,"Primary (KRAS WT, MSS, LS)",G1
EBAG9,"Primary (KRAS WT, MSS, LS)",G1
EBF4,"Primary (KRAS WT, MSS, LS)",G1
EEF1D,"Primary (KRAS WT, MSS, LS)",G1
EFR3A,"Primary (KRAS WT, MSS, LS)",G1
EIF3E,"Primary (KRAS WT, MSS, LS)",G1
EIF3H,"Primary (KRAS WT, MSS, LS)",G1
ELP3,"Primary (KRAS WT, MSS, LS)",G1
EMC2,"Primary (KRAS WT, MSS, LS)",G1
ENPP2,"Primary (KRAS WT, MSS, LS)",G1
ENTPD6,"Primary (KRAS WT, MSS, LS)",G1
ENY2,"Primary (KRAS WT, MSS, LS)",G1
EPHX2,"Primary (KRAS WT, MSS, LS)",G1
EPPK1,"Primary (KRAS WT, MSS, LS)",G1
ERI1,"Primary (KRAS WT, MSS, LS)",G1
ESCO2,"Primary (KRAS WT, MSS, LS)",G1
ESF1,"Primary (KRAS WT, MSS, LS)",G1
ESRP1,"Primary (KRAS WT, MSS, LS)",G1
EXOSC4,"Primary (KRAS WT, MSS, LS)",G1
EXT1,"Primary (KRAS WT, MSS, LS)",G1
FABP5,"Primary (KRAS WT, MSS, LS)",G1
FAM110A,"Primary (KRAS WT, MSS, LS)",G1
FAM110B,"Primary (KRAS WT, MSS, LS)",G1
FAM135B,"Primary (KRAS WT, MSS, LS)",G1
FAM49B,"Primary (KRAS WT, MSS, LS)",G1
FAM66D,"Primary (KRAS WT, MSS, LS)",G1
FAM83H,"Primary (KRAS WT, MSS, LS)",G1
FAM84B,"Primary (KRAS WT, MSS, LS)",G1
FAM91A1,"Primary (KRAS WT, MSS, LS)",G1
FASTKD5,"Primary (KRAS WT, MSS, LS)",G1
FBXL6,"Primary (KRAS WT, MSS, LS)",G1
FBXO16,"Primary (KRAS WT, MSS, LS)",G1
FBXO25,"Primary (KRAS WT, MSS, LS)",G1
FDFT1,"Primary (KRAS WT, MSS, LS)",G1
FER1L6,"Primary (KRAS WT, MSS, LS)",G1
FERMT1,"Primary (KRAS WT, MSS, LS)",G1
FKBP1A,"Primary (KRAS WT, MSS, LS)",G1
FLRT3,"Primary (KRAS WT, MSS, LS)",G1
FNTA,"Primary (KRAS WT, MSS, LS)",G1
FOXH1,"Primary (KRAS WT, MSS, LS)",G1
FZD3,"Primary (KRAS WT, MSS, LS)",G1
FZD6,"Primary (KRAS WT, MSS, LS)",G1
GDAP1,"Primary (KRAS WT, MSS, LS)",G1
GEM,"Primary (KRAS WT, MSS, LS)",G1
GGH,"Primary (KRAS WT, MSS, LS)",G1
GINS1,"Primary (KRAS WT, MSS, LS)",G1
GLI4,"Primary (KRAS WT, MSS, LS)",G1
GNRH2,"Primary (KRAS WT, MSS, LS)",G1
GPAA1,"Primary (KRAS WT, MSS, LS)",G1
GPCPD1,"Primary (KRAS WT, MSS, LS)",G1
GPIHBP1,"Primary (KRAS WT, MSS, LS)",G1
GPR20,"Primary (KRAS WT, MSS, LS)",G1
GRHL2,"Primary (KRAS WT, MSS, LS)",G1
GRINA,"Primary (KRAS WT, MSS, LS)",G1
GSDMD,"Primary (KRAS WT, MSS, LS)",G1
GSR,"Primary (KRAS WT, MSS, LS)",G1
GTF2E2,"Primary (KRAS WT, MSS, LS)",G1
GZF1,"Primary (KRAS WT, MSS, LS)",G1
HAS2,"Primary (KRAS WT, MSS, LS)",G1
HEY1,"Primary (KRAS WT, MSS, LS)",G1
HHLA1,"Primary (KRAS WT, MSS, LS)",G1
HNF4G,"Primary (KRAS WT, MSS, LS)",G1
HSF1,"Primary (KRAS WT, MSS, LS)",G1
HSPA12B,"Primary (KRAS WT, MSS, LS)",G1
IDH3B,"Primary (KRAS WT, MSS, LS)",G1
IL7,"Primary (KRAS WT, MSS, LS)",G1
IMPA1,"Primary (KRAS WT, MSS, LS)",G1
IMPAD1,"Primary (KRAS WT, MSS, LS)",G1
INTS10,"Primary (KRAS WT, MSS, LS)",G1
INTS8,"Primary (KRAS WT, MSS, LS)",G1
INTS9,"Primary (KRAS WT, MSS, LS)",G1
ITPA,"Primary (KRAS WT, MSS, LS)",G1
JPH1,"Primary (KRAS WT, MSS, LS)",G1
JRK,"Primary (KRAS WT, MSS, LS)",G1
KCNK9,"Primary (KRAS WT, MSS, LS)",G1
KCNQ3,"Primary (KRAS WT, MSS, LS)",G1
KCNV1,"Primary (KRAS WT, MSS, LS)",G1
KCTD9,"Primary (KRAS WT, MSS, LS)",G1
KHDRBS3,"Primary (KRAS WT, MSS, LS)",G1
KIF16B,"Primary (KRAS WT, MSS, LS)",G1
KIFC2,"Primary (KRAS WT, MSS, LS)",G1
KLF10,"Primary (KRAS WT, MSS, LS)",G1
LACTB2,"Primary (KRAS WT, MSS, LS)",G1
LAMP5,"Primary (KRAS WT, MSS, LS)",G1
LAPTM4B,"Primary (KRAS WT, MSS, LS)",G1
LEPROTL1,"Primary (KRAS WT, MSS, LS)",G1
LINC00654,"Primary (KRAS WT, MSS, LS)",G1
LONRF1,"Primary (KRAS WT, MSS, LS)",G1
LRP12,"Primary (KRAS WT, MSS, LS)",G1
LRRC14,"Primary (KRAS WT, MSS, LS)",G1
LRRC24,"Primary (KRAS WT, MSS, LS)",G1
LRRC6,"Primary (KRAS WT, MSS, LS)",G1
LRRC69,"Primary (KRAS WT, MSS, LS)",G1
LRRCC1,"Primary (KRAS WT, MSS, LS)",G1
LY6E,"Primary (KRAS WT, MSS, LS)",G1
LY6H,"Primary (KRAS WT, MSS, LS)",G1
LY6K,"Primary (KRAS WT, MSS, LS)",G1
LY96,"Primary (KRAS WT, MSS, LS)",G1
LYN,"Primary (KRAS WT, MSS, LS)",G1
LZTS3,"Primary (KRAS WT, MSS, LS)",G1
MAF1,"Primary (KRAS WT, MSS, LS)",G1
MAL2,"Primary (KRAS WT, MSS, LS)",G1
MAPK15,"Primary (KRAS WT, MSS, LS)",G1
MAPK7,"Primary (KRAS WT, MSS, LS)",G1
MAVS,"Primary (KRAS WT, MSS, LS)",G1
MCM4,"Primary (KRAS WT, MSS, LS)",G1
MCM8,"Primary (KRAS WT, MSS, LS)",G1
MCMDC2,"Primary (KRAS WT, MSS, LS)",G1
MCPH1,"Primary (KRAS WT, MSS, LS)",G1
MED30,"Primary (KRAS WT, MSS, LS)",G1
MFSD3,"Primary (KRAS WT, MSS, LS)",G1
MGME1,"Primary (KRAS WT, MSS, LS)",G1
MKKS,"Primary (KRAS WT, MSS, LS)",G1
MMP16,"Primary (KRAS WT, MSS, LS)",G1
MROH1,"Primary (KRAS WT, MSS, LS)",G1
MROH6,"Primary (KRAS WT, MSS, LS)",G1
MRPL13,"Primary (KRAS WT, MSS, LS)",G1
MRPS26,"Primary (KRAS WT, MSS, LS)",G1
MRPS28,"Primary (KRAS WT, MSS, LS)",G1
MSC,"Primary (KRAS WT, MSS, LS)",G1
MTBP,"Primary (KRAS WT, MSS, LS)",G1
MTDH,"Primary (KRAS WT, MSS, LS)",G1
MTFR1,"Primary (KRAS WT, MSS, LS)",G1
MTMR7,"Primary (KRAS WT, MSS, LS)",G1
MTSS1,"Primary (KRAS WT, MSS, LS)",G1
MYC,"Primary (KRAS WT, MSS, LS)",G1
NAA20,"Primary (KRAS WT, MSS, LS)",G1
NANP,"Primary (KRAS WT, MSS, LS)",G1
NAPB,"Primary (KRAS WT, MSS, LS)",G1
NBN,"Primary (KRAS WT, MSS, LS)",G1
NCALD,"Primary (KRAS WT, MSS, LS)",G1
NCOA2,"Primary (KRAS WT, MSS, LS)",G1
NCOR1P1,"Primary (KRAS WT, MSS, LS)",G1
NDRG1,"Primary (KRAS WT, MSS, LS)",G1
NDUFAF5,"Primary (KRAS WT, MSS, LS)",G1
NDUFAF6,"Primary (KRAS WT, MSS, LS)",G1
NDUFB9,"Primary (KRAS WT, MSS, LS)",G1
NECAB1,"Primary (KRAS WT, MSS, LS)",G1
NEIL2,"Primary (KRAS WT, MSS, LS)",G1
NINL,"Primary (KRAS WT, MSS, LS)",G1
NIPAL2,"Primary (KRAS WT, MSS, LS)",G1
NKAIN3,"Primary (KRAS WT, MSS, LS)",G1
NOP56,"Primary (KRAS WT, MSS, LS)",G1
NPM2,"Primary (KRAS WT, MSS, LS)",G1
NRBP2,"Primary (KRAS WT, MSS, LS)",G1
NRSN2,"Primary (KRAS WT, MSS, LS)",G1
NSFL1C,"Primary (KRAS WT, MSS, LS)",G1
NSMAF,"Primary (KRAS WT, MSS, LS)",G1
NSMCE2,"Primary (KRAS WT, MSS, LS)",G1
NUDCD1,"Primary (KRAS WT, MSS, LS)",G1
NXT1,"Primary (KRAS WT, MSS, LS)",G1
OPLAH,"Primary (KRAS WT, MSS, LS)",G1
OSGIN2,"Primary (KRAS WT, MSS, LS)",G1
OSR2,"Primary (KRAS WT, MSS, LS)",G1
OTUD6B,"Primary (KRAS WT, MSS, LS)",G1
OVOL2,"Primary (KRAS WT, MSS, LS)",G1
OXR1,"Primary (KRAS WT, MSS, LS)",G1
PABPC1,"Primary (KRAS WT, MSS, LS)",G1
PAG1,"Primary (KRAS WT, MSS, LS)",G1
PANK2,"Primary (KRAS WT, MSS, LS)",G1
PARP10,"Primary (KRAS WT, MSS, LS)",G1
PCED1A,"Primary (KRAS WT, MSS, LS)",G1
PCNA,"Primary (KRAS WT, MSS, LS)",G1
PDE7A,"Primary (KRAS WT, MSS, LS)",G1
PDP1,"Primary (KRAS WT, MSS, LS)",G1
PEX2,"Primary (KRAS WT, MSS, LS)",G1
PHF20L1,"Primary (KRAS WT, MSS, LS)",G1
PI15,"Primary (KRAS WT, MSS, LS)",G1
PINX1,"Primary (KRAS WT, MSS, LS)",G1
PKIA,"Primary (KRAS WT, MSS, LS)",G1
PLAG1,"Primary (KRAS WT, MSS, LS)",G1
PLCB1,"Primary (KRAS WT, MSS, LS)",G1
PLCB4,"Primary (KRAS WT, MSS, LS)",G1
PLEKHF2,"Primary (KRAS WT, MSS, LS)",G1
POLR2K,"Primary (KRAS WT, MSS, LS)",G1
POLR3D,"Primary (KRAS WT, MSS, LS)",G1
POLR3F,"Primary (KRAS WT, MSS, LS)",G1
POP1,"Primary (KRAS WT, MSS, LS)",G1
POU5F1B,"Primary (KRAS WT, MSS, LS)",G1
PPP1R16A,"Primary (KRAS WT, MSS, LS)",G1
PPP2R2A,"Primary (KRAS WT, MSS, LS)",G1
PPP3CC,"Primary (KRAS WT, MSS, LS)",G1
PRKDC,"Primary (KRAS WT, MSS, LS)",G1
PSMF1,"Primary (KRAS WT, MSS, LS)",G1
PTDSS1,"Primary (KRAS WT, MSS, LS)",G1
PTK2,"Primary (KRAS WT, MSS, LS)",G1
PTP4A3,"Primary (KRAS WT, MSS, LS)",G1
PTPRA,"Primary (KRAS WT, MSS, LS)",G1
PUF60,"Primary (KRAS WT, MSS, LS)",G1
PVT1,"Primary (KRAS WT, MSS, LS)",G1
R3HCC1,"Primary (KRAS WT, MSS, LS)",G1
RAB2A,"Primary (KRAS WT, MSS, LS)",G1
RAD21,"Primary (KRAS WT, MSS, LS)",G1
RAD54B,"Primary (KRAS WT, MSS, LS)",G1
RALGAPA2,"Primary (KRAS WT, MSS, LS)",G1
RBBP9,"Primary (KRAS WT, MSS, LS)",G1
RBCK1,"Primary (KRAS WT, MSS, LS)",G1
RBM12B,"Primary (KRAS WT, MSS, LS)",G1
RDH10,"Primary (KRAS WT, MSS, LS)",G1
RECQL4,"Primary (KRAS WT, MSS, LS)",G1
RGS22,"Primary (KRAS WT, MSS, LS)",G1
RHPN1,"Primary (KRAS WT, MSS, LS)",G1
RIMS2,"Primary (KRAS WT, MSS, LS)",G1
RIN2,"Primary (KRAS WT, MSS, LS)",G1
RIPK2,"Primary (KRAS WT, MSS, LS)",G1
RMDN1,"Primary (KRAS WT, MSS, LS)",G1
RNF139,"Primary (KRAS WT, MSS, LS)",G1
RNF24,"Primary (KRAS WT, MSS, LS)",G1
RPL30,"Primary (KRAS WT, MSS, LS)",G1
RPL7,"Primary (KRAS WT, MSS, LS)",G1
RPL8,"Primary (KRAS WT, MSS, LS)",G1
RPS20,"Primary (KRAS WT, MSS, LS)",G1
RRBP1,"Primary (KRAS WT, MSS, LS)",G1
RRM2B,"Primary (KRAS WT, MSS, LS)",G1
RRS1,"Primary (KRAS WT, MSS, LS)",G1
RSPO4,"Primary (KRAS WT, MSS, LS)",G1
SAMD12,"Primary (KRAS WT, MSS, LS)",G1
SCRIB,"Primary (KRAS WT, MSS, LS)",G1
SDC2,"Primary (KRAS WT, MSS, LS)",G1
SDCBP,"Primary (KRAS WT, MSS, LS)",G1
SDR16C5,"Primary (KRAS WT, MSS, LS)",G1
SEC23B,"Primary (KRAS WT, MSS, LS)",G1
SGK3,"Primary (KRAS WT, MSS, LS)",G1
SH2D4A,"Primary (KRAS WT, MSS, LS)",G1
SHARPIN,"Primary (KRAS WT, MSS, LS)",G1
SIRPA,"Primary (KRAS WT, MSS, LS)",G1
SLA,"Primary (KRAS WT, MSS, LS)",G1
SLC10A5,"Primary (KRAS WT, MSS, LS)",G1
SLC23A2,"Primary (KRAS WT, MSS, LS)",G1
SLC25A32,"Primary (KRAS WT, MSS, LS)",G1
SLC39A14,"Primary (KRAS WT, MSS, LS)",G1
SLC39A4,"Primary (KRAS WT, MSS, LS)",G1
SLC45A4,"Primary (KRAS WT, MSS, LS)",G1
SLC4A11,"Primary (KRAS WT, MSS, LS)",G1
SLC52A2,"Primary (KRAS WT, MSS, LS)",G1
SLC52A3,"Primary (KRAS WT, MSS, LS)",G1
SLCO5A1,"Primary (KRAS WT, MSS, LS)",G1
SLX4IP,"Primary (KRAS WT, MSS, LS)",G1
SMOX,"Primary (KRAS WT, MSS, LS)",G1
SNAI2,"Primary (KRAS WT, MSS, LS)",G1
SNHG6,"Primary (KRAS WT, MSS, LS)",G1
SNORD17,"Primary (KRAS WT, MSS, LS)",G1
SNRPB,"Primary (KRAS WT, MSS, LS)",G1
SNRPB2,"Primary (KRAS WT, MSS, LS)",G1
SNTB1,"Primary (KRAS WT, MSS, LS)",G1
SNX16,"Primary (KRAS WT, MSS, LS)",G1
SNX5,"Primary (KRAS WT, MSS, LS)",G1
SOX12,"Primary (KRAS WT, MSS, LS)",G1
SPATC1,"Primary (KRAS WT, MSS, LS)",G1
SPIDR,"Primary (KRAS WT, MSS, LS)",G1
SPTLC3,"Primary (KRAS WT, MSS, LS)",G1
SQLE,"Primary (KRAS WT, MSS, LS)",G1
SRXN1,"Primary (KRAS WT, MSS, LS)",G1
ST3GAL1,"Primary (KRAS WT, MSS, LS)",G1
STAU2,"Primary (KRAS WT, MSS, LS)",G1
STK3,"Primary (KRAS WT, MSS, LS)",G1
STK35,"Primary (KRAS WT, MSS, LS)",G1
SULF1,"Primary (KRAS WT, MSS, LS)",G1
SYBU,"Primary (KRAS WT, MSS, LS)",G1
TAF2,"Primary (KRAS WT, MSS, LS)",G1
TASP1,"Primary (KRAS WT, MSS, LS)",G1
TATDN1,"Primary (KRAS WT, MSS, LS)",G1
TBC1D20,"Primary (KRAS WT, MSS, LS)",G1
TBC1D31,"Primary (KRAS WT, MSS, LS)",G1
TCF15,"Primary (KRAS WT, MSS, LS)",G1
TERF1,"Primary (KRAS WT, MSS, LS)",G1
TGM3,"Primary (KRAS WT, MSS, LS)",G1
TGS1,"Primary (KRAS WT, MSS, LS)",G1
THBD,"Primary (KRAS WT, MSS, LS)",G1
THEM6,"Primary (KRAS WT, MSS, LS)",G1
TIGD5,"Primary (KRAS WT, MSS, LS)",G1
TMEM230,"Primary (KRAS WT, MSS, LS)",G1
TMEM64,"Primary (KRAS WT, MSS, LS)",G1
TMEM65,"Primary (KRAS WT, MSS, LS)",G1
TMEM67,"Primary (KRAS WT, MSS, LS)",G1
TMEM68,"Primary (KRAS WT, MSS, LS)",G1
TMEM70,"Primary (KRAS WT, MSS, LS)",G1
TMEM71,"Primary (KRAS WT, MSS, LS)",G1
TMEM74B,"Primary (KRAS WT, MSS, LS)",G1
TNFRSF11B,"Primary (KRAS WT, MSS, LS)",G1
TONSL,"Primary (KRAS WT, MSS, LS)",G1
TOP1MT,"Primary (KRAS WT, MSS, LS)",G1
TOX,"Primary (KRAS WT, MSS, LS)",G1
TPD52,"Primary (KRAS WT, MSS, LS)",G1
TRAM1,"Primary (KRAS WT, MSS, LS)",G1
TRAPPC9,"Primary (KRAS WT, MSS, LS)",G1
TRIB1,"Primary (KRAS WT, MSS, LS)",G1
TRIB3,"Primary (KRAS WT, MSS, LS)",G1
TRIM55,"Primary (KRAS WT, MSS, LS)",G1
TRIQK,"Primary (KRAS WT, MSS, LS)",G1
TRMT12,"Primary (KRAS WT, MSS, LS)",G1
TRMT6,"Primary (KRAS WT, MSS, LS)",G1
TSNARE1,"Primary (KRAS WT, MSS, LS)",G1
TSTA3,"Primary (KRAS WT, MSS, LS)",G1
TTPA,"Primary (KRAS WT, MSS, LS)",G1
TUSC3,"Primary (KRAS WT, MSS, LS)",G1
UBE2V2,"Primary (KRAS WT, MSS, LS)",G1
UBE2W,"Primary (KRAS WT, MSS, LS)",G1
UBOX5,"Primary (KRAS WT, MSS, LS)",G1
UBR5,"Primary (KRAS WT, MSS, LS)",G1
UBXN2B,"Primary (KRAS WT, MSS, LS)",G1
UBXN8,"Primary (KRAS WT, MSS, LS)",G1
UQCRB,"Primary (KRAS WT, MSS, LS)",G1
UTP23,"Primary (KRAS WT, MSS, LS)",G1
VCPIP1,"Primary (KRAS WT, MSS, LS)",G1
VPS13B,"Primary (KRAS WT, MSS, LS)",G1
VPS16,"Primary (KRAS WT, MSS, LS)",G1
VPS28,"Primary (KRAS WT, MSS, LS)",G1
VPS37A,"Primary (KRAS WT, MSS, LS)",G1
WDYHV1,"Primary (KRAS WT, MSS, LS)",G1
WISP1,"Primary (KRAS WT, MSS, LS)",G1
WWP1,"Primary (KRAS WT, MSS, LS)",G1
XKR4,"Primary (KRAS WT, MSS, LS)",G1
XKR6,"Primary (KRAS WT, MSS, LS)",G1
XKR9,"Primary (KRAS WT, MSS, LS)",G1
XRN2,"Primary (KRAS WT, MSS, LS)",G1
YTHDF3,"Primary (KRAS WT, MSS, LS)",G1
YWHAZ,"Primary (KRAS WT, MSS, LS)",G1
ZBTB10,"Primary (KRAS WT, MSS, LS)",G1
ZC2HC1A,"Primary (KRAS WT, MSS, LS)",G1
ZC3H3,"Primary (KRAS WT, MSS, LS)",G1
ZCCHC3,"Primary (KRAS WT, MSS, LS)",G1
ZFAND1,"Primary (KRAS WT, MSS, LS)",G1
ZFP41,"Primary (KRAS WT, MSS, LS)",G1
ZHX1,"Primary (KRAS WT, MSS, LS)",G1
ZHX2,"Primary (KRAS WT, MSS, LS)",G1
ZNF133,"Primary (KRAS WT, MSS, LS)",G1
ZNF16,"Primary (KRAS WT, MSS, LS)",G1
ZNF250,"Primary (KRAS WT, MSS, LS)",G1
ZNF251,"Primary (KRAS WT, MSS, LS)",G1
ZNF252P,"Primary (KRAS WT, MSS, LS)",G1
ZNF337,"Primary (KRAS WT, MSS, LS)",G1
ZNF34,"Primary (KRAS WT, MSS, LS)",G1
ZNF343,"Primary (KRAS WT, MSS, LS)",G1
ZNF395,"Primary (KRAS WT, MSS, LS)",G1
ZNF517,"Primary (KRAS WT, MSS, LS)",G1
ZNF572,"Primary (KRAS WT, MSS, LS)",G1
ZNF623,"Primary (KRAS WT, MSS, LS)",G1
ZNF696,"Primary (KRAS WT, MSS, LS)",G1
ZNF7,"Primary (KRAS WT, MSS, LS)",G1
ZNF706,"Primary (KRAS WT, MSS, LS)",G1
ZNF707,"Primary (KRAS WT, MSS, LS)",G1
AAR2,"Primary (KRAS WT, MSS, LS)",G2
ABCC4,"Primary (KRAS WT, MSS, LS)",G2
ABHD13,"Primary (KRAS WT, MSS, LS)",G2
ABHD16B,"Primary (KRAS WT, MSS, LS)",G2
ACOT8,"Primary (KRAS WT, MSS, LS)",G2
ACSS2,"Primary (KRAS WT, MSS, LS)",G2
ACTB,"Primary (KRAS WT, MSS, LS)",G2
ACTL10,"Primary (KRAS WT, MSS, LS)",G2
ACTR5,"Primary (KRAS WT, MSS, LS)",G2
ADA,"Primary (KRAS WT, MSS, LS)",G2
ADAP1,"Primary (KRAS WT, MSS, LS)",G2
ADIG,"Primary (KRAS WT, MSS, LS)",G2
ADNP,"Primary (KRAS WT, MSS, LS)",G2
ADPRHL1,"Primary (KRAS WT, MSS, LS)",G2
ADRM1,"Primary (KRAS WT, MSS, LS)",G2
AHCY,"Primary (KRAS WT, MSS, LS)",G2
AIMP2,"Primary (KRAS WT, MSS, LS)",G2
AKAP11,"Primary (KRAS WT, MSS, LS)",G2
ALG11,"Primary (KRAS WT, MSS, LS)",G2
ALG5,"Primary (KRAS WT, MSS, LS)",G2
ANKMY2,"Primary (KRAS WT, MSS, LS)",G2
ANKRD10,"Primary (KRAS WT, MSS, LS)",G2
AOAH,"Primary (KRAS WT, MSS, LS)",G2
AP5Z1,"Primary (KRAS WT, MSS, LS)",G2
APCDD1L,"Primary (KRAS WT, MSS, LS)",G2
AQP1,"Primary (KRAS WT, MSS, LS)",G2
ARFGAP1,"Primary (KRAS WT, MSS, LS)",G2
ARFGEF2,"Primary (KRAS WT, MSS, LS)",G2
ARFRP1,"Primary (KRAS WT, MSS, LS)",G2
ARGLU1,"Primary (KRAS WT, MSS, LS)",G2
ARHGEF7,"Primary (KRAS WT, MSS, LS)",G2
ARL11,"Primary (KRAS WT, MSS, LS)",G2
ARL4A,"Primary (KRAS WT, MSS, LS)",G2
ASIP,"Primary (KRAS WT, MSS, LS)",G2
ASXL1,"Primary (KRAS WT, MSS, LS)",G2
ATP11A,"Primary (KRAS WT, MSS, LS)",G2
ATP12A,"Primary (KRAS WT, MSS, LS)",G2
ATP7B,"Primary (KRAS WT, MSS, LS)",G2
ATP9A,"Primary (KRAS WT, MSS, LS)",G2
AURKA,"Primary (KRAS WT, MSS, LS)",G2
AVL9,"Primary (KRAS WT, MSS, LS)",G2
B4GALT5,"Primary (KRAS WT, MSS, LS)",G2
BBS9,"Primary (KRAS WT, MSS, LS)",G2
BCAS4,"Primary (KRAS WT, MSS, LS)",G2
BCL2L1,"Primary (KRAS WT, MSS, LS)",G2
BIRC7,"Primary (KRAS WT, MSS, LS)",G2
BIVM,"Primary (KRAS WT, MSS, LS)",G2
BLCAP,"Primary (KRAS WT, MSS, LS)",G2
BMPER,"Primary (KRAS WT, MSS, LS)",G2
BORA,"Primary (KRAS WT, MSS, LS)",G2
BPI,"Primary (KRAS WT, MSS, LS)",G2
BPIFB1,"Primary (KRAS WT, MSS, LS)",G2
BPIFB2,"Primary (KRAS WT, MSS, LS)",G2
BRAT1,"Primary (KRAS WT, MSS, LS)",G2
BRCA2,"Primary (KRAS WT, MSS, LS)",G2
BZW2,"Primary (KRAS WT, MSS, LS)",G2
C1GALT1,"Primary (KRAS WT, MSS, LS)",G2
