gene,signature,cluster
SH2D4A,Primary (Early Age Diagnosis),G1
SHARPIN,Primary (Early Age Diagnosis),G1
SLC10A5,Primary (Early Age Diagnosis),G1
SLC20A2,Primary (Early Age Diagnosis),G1
SLC25A32,Primary (Early Age Diagnosis),G1
SLC30A8,Primary (Early Age Diagnosis),G1
SLC39A4,Primary (Early Age Diagnosis),G1
SLC52A2,Primary (Early Age Diagnosis),G1
SLC7A2,Primary (Early Age Diagnosis),G1
SLCO5A1,Primary (Early Age Diagnosis),G1
SLURP1,Primary (Early Age Diagnosis),G1
SNHG6,Primary (Early Age Diagnosis),G1
SPAG1,Primary (Early Age Diagnosis),G1
SPIDR,Primary (Early Age Diagnosis),G1
SQLE,Primary (Early Age Diagnosis),G1
STAR,Primary (Early Age Diagnosis),G1
STAU2,Primary (Early Age Diagnosis),G1
SYBU,Primary (Early Age Diagnosis),G1
TAF2,Primary (Early Age Diagnosis),G1
TATDN1,Primary (Early Age Diagnosis),G1
TBC1D31,Primary (Early Age Diagnosis),G1
TCEA1,Primary (Early Age Diagnosis),G1
TERF1,Primary (Early Age Diagnosis),G1
TGS1,Primary (Early Age Diagnosis),G1
THEM6,Primary (Early Age Diagnosis),G1
TIGD5,Primary (Early Age Diagnosis),G1
TM2D2,Primary (Early Age Diagnosis),G1
TMEM249,Primary (Early Age Diagnosis),G1
TMEM64,Primary (Early Age Diagnosis),G1
TMEM65,Primary (Early Age Diagnosis),G1
TMEM67,Primary (Early Age Diagnosis),G1
TMEM68,Primary (Early Age Diagnosis),G1
TMEM70,Primary (Early Age Diagnosis),G1
TMEM71,Primary (Early Age Diagnosis),G1
TONSL,Primary (Early Age Diagnosis),G1
TOP1MT,Primary (Early Age Diagnosis),G1
TPD52,Primary (Early Age Diagnosis),G1
TRAM1,Primary (Early Age Diagnosis),G1
TRAPPC9,Primary (Early Age Diagnosis),G1
TRIB1,Primary (Early Age Diagnosis),G1
TRMT12,Primary (Early Age Diagnosis),G1
TRPS1,Primary (Early Age Diagnosis),G1
TSNARE1,Primary (Early Age Diagnosis),G1
TTPA,Primary (Early Age Diagnosis),G1
UBE2V2,Primary (Early Age Diagnosis),G1
UBR5,Primary (Early Age Diagnosis),G1
UBXN2B,Primary (Early Age Diagnosis),G1
UQCRB,Primary (Early Age Diagnosis),G1
UTP23,Primary (Early Age Diagnosis),G1
VCPIP1,Primary (Early Age Diagnosis),G1
VPS13B,Primary (Early Age Diagnosis),G1
VPS28,Primary (Early Age Diagnosis),G1
VPS37A,Primary (Early Age Diagnosis),G1
WDYHV1,Primary (Early Age Diagnosis),G1
WWP1,Primary (Early Age Diagnosis),G1
XKR6,Primary (Early Age Diagnosis),G1
XRN2,Primary (Early Age Diagnosis),G1
YTHDF3,Primary (Early Age Diagnosis),G1
YWHAZ,Primary (Early Age Diagnosis),G1
ZBTB10,Primary (Early Age Diagnosis),G1
ZC2HC1A,Primary (Early Age Diagnosis),G1
ZC3H3,Primary (Early Age Diagnosis),G1
ZFAT,Primary (Early Age Diagnosis),G1
ZFP41,Primary (Early Age Diagnosis),G1
ZHX1,Primary (Early Age Diagnosis),G1
ZNF16,Primary (Early Age Diagnosis),G1
ZNF250,Primary (Early Age Diagnosis),G1
ZNF251,Primary (Early Age Diagnosis),G1
ZNF252P,Primary (Early Age Diagnosis),G1
ZNF337,Primary (Early Age Diagnosis),G1
ZNF34,Primary (Early Age Diagnosis),G1
ZNF517,Primary (Early Age Diagnosis),G1
ZNF572,Primary (Early Age Diagnosis),G1
ZNF623,Primary (Early Age Diagnosis),G1
ZNF696,Primary (Early Age Diagnosis),G1
ZNF7,Primary (Early Age Diagnosis),G1
ZNF704,Primary (Early Age Diagnosis),G1
ZNF706,Primary (Early Age Diagnosis),G1
ZNF707,Primary (Early Age Diagnosis),G1
ABCA13,Primary (Early Age Diagnosis),G2
ABCC4,Primary (Early Age Diagnosis),G2
ABHD13,Primary (Early Age Diagnosis),G2
ADAP1,Primary (Early Age Diagnosis),G2
ADPRHL1,Primary (Early Age Diagnosis),G2
AIMP2,Primary (Early Age Diagnosis),G2
AKAP11,Primary (Early Age Diagnosis),G2
ALG11,Primary (Early Age Diagnosis),G2
ALG5,Primary (Early Age Diagnosis),G2
AMPH,Primary (Early Age Diagnosis),G2
ANKRD10,Primary (Early Age Diagnosis),G2
AOAH,Primary (Early Age Diagnosis),G2
AP5Z1,Primary (Early Age Diagnosis),G2
ARGLU1,Primary (Early Age Diagnosis),G2
ARHGEF7,Primary (Early Age Diagnosis),G2
ARL11,Primary (Early Age Diagnosis),G2
ATP11A,Primary (Early Age Diagnosis),G2
ATP7B,Primary (Early Age Diagnosis),G2
ATP8A2,Primary (Early Age Diagnosis),G2
AVL9,Primary (Early Age Diagnosis),G2
BBS9,Primary (Early Age Diagnosis),G2
BIVM,Primary (Early Age Diagnosis),G2
BORA,Primary (Early Age Diagnosis),G2
BRAT1,Primary (Early Age Diagnosis),G2
BRCA2,Primary (Early Age Diagnosis),G2
C1QTNF9,Primary (Early Age Diagnosis),G2
C7orf25,Primary (Early Age Diagnosis),G2
C7orf26,Primary (Early Age Diagnosis),G2
C7orf50,Primary (Early Age Diagnosis),G2
CAB39L,Primary (Early Age Diagnosis),G2
CARD11,Primary (Early Age Diagnosis),G2
CARS2,Primary (Early Age Diagnosis),G2
CBX3,Primary (Early Age Diagnosis),G2
CCDC122,Primary (Early Age Diagnosis),G2
CCM2,Primary (Early Age Diagnosis),G2
CCT6A,Primary (Early Age Diagnosis),G2
CCZ1,Primary (Early Age Diagnosis),G2
CCZ1B,Primary (Early Age Diagnosis),G2
CDADC1,Primary (Early Age Diagnosis),G2
CDC16,Primary (Early Age Diagnosis),G2
CDK13,Primary (Early Age Diagnosis),G2
CDK14,Primary (Early Age Diagnosis),G2
CDK8,Primary (Early Age Diagnosis),G2
CENPJ,Primary (Early Age Diagnosis),G2
CHAMP1,Primary (Early Age Diagnosis),G2
CKAP2,Primary (Early Age Diagnosis),G2
CLDN10,Primary (Early Age Diagnosis),G2
CLN5,Primary (Early Age Diagnosis),G2
CLYBL,Primary (Early Age Diagnosis),G2
COA1,Primary (Early Age Diagnosis),G2
COBL,Primary (Early Age Diagnosis),G2
COG3,Primary (Early Age Diagnosis),G2
COG6,Primary (Early Age Diagnosis),G2
COL28A1,Primary (Early Age Diagnosis),G2
COL4A2,Primary (Early Age Diagnosis),G2
COMMD6,Primary (Early Age Diagnosis),G2
COX19,Primary (Early Age Diagnosis),G2
CPB2,Primary (Early Age Diagnosis),G2
CRYL1,Primary (Early Age Diagnosis),G2
CUL4A,Primary (Early Age Diagnosis),G2
DACH1,Primary (Early Age Diagnosis),G2
DAGLB,Primary (Early Age Diagnosis),G2
DCLK1,Primary (Early Age Diagnosis),G2
DCT,Primary (Early Age Diagnosis),G2
DCUN1D2,Primary (Early Age Diagnosis),G2
DDC,Primary (Early Age Diagnosis),G2
DDX56,Primary (Early Age Diagnosis),G2
DGKH,Primary (Early Age Diagnosis),G2
DHRS12,Primary (Early Age Diagnosis),G2
DIAPH3,Primary (Early Age Diagnosis),G2
DIS3,Primary (Early Age Diagnosis),G2
DLEU7,Primary (Early Age Diagnosis),G2
DNAJC15,Primary (Early Age Diagnosis),G2
DNAJC3,Primary (Early Age Diagnosis),G2
DOCK9,Primary (Early Age Diagnosis),G2
DPY19L1,Primary (Early Age Diagnosis),G2
EBPL,Primary (Early Age Diagnosis),G2
EFNB2,Primary (Early Age Diagnosis),G2
EGFR,Primary (Early Age Diagnosis),G2
EIF2AK1,Primary (Early Age Diagnosis),G2
EIF3B,Primary (Early Age Diagnosis),G2
ELF1,Primary (Early Age Diagnosis),G2
ELMO1,Primary (Early Age Diagnosis),G2
EPDR1,Primary (Early Age Diagnosis),G2
EPSTI1,Primary (Early Age Diagnosis),G2
ERCC5,Primary (Early Age Diagnosis),G2
ESD,Primary (Early Age Diagnosis),G2
EXOSC8,Primary (Early Age Diagnosis),G2
FAM220A,Primary (Early Age Diagnosis),G2
FARP1,Primary (Early Age Diagnosis),G2
FBXL18,Primary (Early Age Diagnosis),G2
FBXL3,Primary (Early Age Diagnosis),G2
FGF9,Primary (Early Age Diagnosis),G2
FIGNL1,Primary (Early Age Diagnosis),G2
FKBP9,Primary (Early Age Diagnosis),G2
FNDC3A,Primary (Early Age Diagnosis),G2
FOXK1,Primary (Early Age Diagnosis),G2
FOXO1,Primary (Early Age Diagnosis),G2
FREM2,Primary (Early Age Diagnosis),G2
GARS,Primary (Early Age Diagnosis),G2
GET4,Primary (Early Age Diagnosis),G2
GGACT,Primary (Early Age Diagnosis),G2
GGCT,Primary (Early Age Diagnosis),G2
GNA12,Primary (Early Age Diagnosis),G2
GPR12,Primary (Early Age Diagnosis),G2
GRB10,Primary (Early Age Diagnosis),G2
GRID2IP,Primary (Early Age Diagnosis),G2
GRTP1,Primary (Early Age Diagnosis),G2
GTF2F2,Primary (Early Age Diagnosis),G2
GTF3A,Primary (Early Age Diagnosis),G2
H2AFV,Primary (Early Age Diagnosis),G2
HERPUD2,Primary (Early Age Diagnosis),G2
HIBADH,Primary (Early Age Diagnosis),G2
HMGB1,Primary (Early Age Diagnosis),G2
HNRNPA2B1,Primary (Early Age Diagnosis),G2
HOXA1,Primary (Early Age Diagnosis),G2
HOXA10,Primary (Early Age Diagnosis),G2
HOXA11,Primary (Early Age Diagnosis),G2
HOXA13,Primary (Early Age Diagnosis),G2
HOXA3,Primary (Early Age Diagnosis),G2
HOXA4,Primary (Early Age Diagnosis),G2
HSPH1,Primary (Early Age Diagnosis),G2
HUS1,Primary (Early Age Diagnosis),G2
ICA1,Primary (Early Age Diagnosis),G2
IFT88,Primary (Early Age Diagnosis),G2
ING1,Primary (Early Age Diagnosis),G2
INTS6,Primary (Early Age Diagnosis),G2
IPO5,Primary (Early Age Diagnosis),G2
IQCE,Primary (Early Age Diagnosis),G2
IRS2,Primary (Early Age Diagnosis),G2
ITM2B,Primary (Early Age Diagnosis),G2
KBTBD2,Primary (Early Age Diagnosis),G2
KBTBD6,Primary (Early Age Diagnosis),G2
KBTBD7,Primary (Early Age Diagnosis),G2
KDELC1,Primary (Early Age Diagnosis),G2
KDELR2,Primary (Early Age Diagnosis),G2
KL,Primary (Early Age Diagnosis),G2
KLF12,Primary (Early Age Diagnosis),G2
KLF5,Primary (Early Age Diagnosis),G2
KPNA3,Primary (Early Age Diagnosis),G2
LACC1,Primary (Early Age Diagnosis),G2
LAMP1,Primary (Early Age Diagnosis),G2
LANCL2,Primary (Early Age Diagnosis),G2
LFNG,Primary (Early Age Diagnosis),G2
LIG4,Primary (Early Age Diagnosis),G2
LINC00265,Primary (Early Age Diagnosis),G2
LINC00346,Primary (Early Age Diagnosis),G2
LINC00426,Primary (Early Age Diagnosis),G2
LMO7,Primary (Early Age Diagnosis),G2
LNX2,Primary (Early Age Diagnosis),G2
LPAR6,Primary (Early Age Diagnosis),G2
LRCH1,Primary (Early Age Diagnosis),G2
MAD1L1,Primary (Early Age Diagnosis),G2
MBNL2,Primary (Early Age Diagnosis),G2
MCF2L,Primary (Early Age Diagnosis),G2
MED4,Primary (Early Age Diagnosis),G2
MEDAG,Primary (Early Age Diagnosis),G2
METTL21EP,Primary (Early Age Diagnosis),G2
MICU2,Primary (Early Age Diagnosis),G2
MIOS,Primary (Early Age Diagnosis),G2
MIPEP,Primary (Early Age Diagnosis),G2
MPHOSPH8,Primary (Early Age Diagnosis),G2
MPLKIP,Primary (Early Age Diagnosis),G2
MRPL32,Primary (Early Age Diagnosis),G2
MRPS31,Primary (Early Age Diagnosis),G2
MTIF3,Primary (Early Age Diagnosis),G2
MTMR6,Primary (Early Age Diagnosis),G2
MTRF1,Primary (Early Age Diagnosis),G2
MYCBP2,Primary (Early Age Diagnosis),G2
MYO16,Primary (Early Age Diagnosis),G2
MZT1,Primary (Early Age Diagnosis),G2
N4BP2L1,Primary (Early Age Diagnosis),G2
N4BP2L2,Primary (Early Age Diagnosis),G2
NAA16,Primary (Early Age Diagnosis),G2
NDFIP2,Primary (Early Age Diagnosis),G2
NEK3,Primary (Early Age Diagnosis),G2
NEK5,Primary (Early Age Diagnosis),G2
NFE2L3,Primary (Early Age Diagnosis),G2
NHLRC3,Primary (Early Age Diagnosis),G2
NME8,Primary (Early Age Diagnosis),G2
NOD1,Primary (Early Age Diagnosis),G2
NPSR1,Primary (Early Age Diagnosis),G2
NUDCD3,Primary (Early Age Diagnosis),G2
NUDT15,Primary (Early Age Diagnosis),G2
NUFIP1,Primary (Early Age Diagnosis),G2
OCM,Primary (Early Age Diagnosis),G2
OXGR1,Primary (Early Age Diagnosis),G2
PAN3,Primary (Early Age Diagnosis),G2
PARP4,Primary (Early Age Diagnosis),G2
PCDH20,Primary (Early Age Diagnosis),G2
PCID2,Primary (Early Age Diagnosis),G2
PDGFA,Primary (Early Age Diagnosis),G2
PDS5B,Primary (Early Age Diagnosis),G2
PHF11,Primary (Early Age Diagnosis),G2
PIBF1,Primary (Early Age Diagnosis),G2
PKD1L1,Primary (Early Age Diagnosis),G2
PLEKHA8,Primary (Early Age Diagnosis),G2
PMS2,Primary (Early Age Diagnosis),G2
POLR1D,Primary (Early Age Diagnosis),G2
POLR2J4,Primary (Early Age Diagnosis),G2
POMP,Primary (Early Age Diagnosis),G2
POU6F2,Primary (Early Age Diagnosis),G2
PPIA,Primary (Early Age Diagnosis),G2
PROSER1,Primary (Early Age Diagnosis),G2
PROZ,Primary (Early Age Diagnosis),G2
PSMA2,Primary (Early Age Diagnosis),G2
PURB,Primary (Early Age Diagnosis),G2
RAB20,Primary (Early Age Diagnosis),G2
RAC1,Primary (Early Age Diagnosis),G2
RALA,Primary (Early Age Diagnosis),G2
RAP2A,Primary (Early Age Diagnosis),G2
RASA3,Primary (Early Age Diagnosis),G2
RASA4CP,Primary (Early Age Diagnosis),G2
RASL11A,Primary (Early Age Diagnosis),G2
RB1,Primary (Early Age Diagnosis),G2
RBM26,Primary (Early Age Diagnosis),G2
RCBTB1,Primary (Early Age Diagnosis),G2
RCBTB2,Primary (Early Age Diagnosis),G2
RFC3,Primary (Early Age Diagnosis),G2
RFXAP,Primary (Early Age Diagnosis),G2
RGCC,Primary (Early Age Diagnosis),G2
RNASEH2B,Primary (Early Age Diagnosis),G2
RNF216,Primary (Early Age Diagnosis),G2
RNF216P1,Primary (Early Age Diagnosis),G2
RNF219,Primary (Early Age Diagnosis),G2
RNF6,Primary (Early Age Diagnosis),G2
RP9,Primary (Early Age Diagnosis),G2
RP9P,Primary (Early Age Diagnosis),G2
RPA3,Primary (Early Age Diagnosis),G2
SAP18,Primary (Early Age Diagnosis),G2
SCEL,Primary (Early Age Diagnosis),G2
SEPT7P2,Primary (Early Age Diagnosis),G2
SERP2,Primary (Early Age Diagnosis),G2
SERPINE3,Primary (Early Age Diagnosis),G2
SETDB2,Primary (Early Age Diagnosis),G2
SGCG,Primary (Early Age Diagnosis),G2
SHISA2,Primary (Early Age Diagnosis),G2
SKA3,Primary (Early Age Diagnosis),G2
SKAP2,Primary (Early Age Diagnosis),G2
SLC25A15,Primary (Early Age Diagnosis),G2
SLC46A3,Primary (Early Age Diagnosis),G2
SLC7A1,Primary (Early Age Diagnosis),G2
SPATA13,Primary (Early Age Diagnosis),G2
SPERT,Primary (Early Age Diagnosis),G2
SPRY2,Primary (Early Age Diagnosis),G2
SPRYD7,Primary (Early Age Diagnosis),G2
STARD13,Primary (Early Age Diagnosis),G2
STK24,Primary (Early Age Diagnosis),G2
SUCLA2,Primary (Early Age Diagnosis),G2
SUGT1,Primary (Early Age Diagnosis),G2
SUGT1P3,Primary (Early Age Diagnosis),G2
SUMF2,Primary (Early Age Diagnosis),G2
SUN1,Primary (Early Age Diagnosis),G2
SUPT20H,Primary (Early Age Diagnosis),G2
TBC1D4,Primary (Early Age Diagnosis),G2
TDRD3,Primary (Early Age Diagnosis),G2
TFDP1,Primary (Early Age Diagnosis),G2
TGDS,Primary (Early Age Diagnosis),G2
TM9SF2,Primary (Early Age Diagnosis),G2
TMED4,Primary (Early Age Diagnosis),G2
TMEM184A,Primary (Early Age Diagnosis),G2
TMEM255B,Primary (Early Age Diagnosis),G2
TMTC4,Primary (Early Age Diagnosis),G2
TNFRSF19,Primary (Early Age Diagnosis),G2
TNFSF11,Primary (Early Age Diagnosis),G2
TNRC18,Primary (Early Age Diagnosis),G2
TPP2,Primary (Early Age Diagnosis),G2
TPT1,Primary (Early Age Diagnosis),G2
TPTE2P1,Primary (Early Age Diagnosis),G2
TPTE2P6,Primary (Early Age Diagnosis),G2
TRIM13,Primary (Early Age Diagnosis),G2
TSC22D1,Primary (Early Age Diagnosis),G2
TTYH3,Primary (Early Age Diagnosis),G2
TUBGCP3,Primary (Early Age Diagnosis),G2
UBAC2,Primary (Early Age Diagnosis),G2
UBE2D4,Primary (Early Age Diagnosis),G2
UBL3,Primary (Early Age Diagnosis),G2
UCHL3,Primary (Early Age Diagnosis),G2
UFM1,Primary (Early Age Diagnosis),G2
UGGT2,Primary (Early Age Diagnosis),G2
UPF3A,Primary (Early Age Diagnosis),G2
URGCP,Primary (Early Age Diagnosis),G2
USP12,Primary (Early Age Diagnosis),G2
USP42,Primary (Early Age Diagnosis),G2
USPL1,Primary (Early Age Diagnosis),G2
UTP14C,Primary (Early Age Diagnosis),G2
VOPP1,Primary (Early Age Diagnosis),G2
VPS36,Primary (Early Age Diagnosis),G2
VPS41,Primary (Early Age Diagnosis),G2
VWA8,Primary (Early Age Diagnosis),G2
WASF3,Primary (Early Age Diagnosis),G2
WBP4,Primary (Early Age Diagnosis),G2
WDFY2,Primary (Early Age Diagnosis),G2
WIPI2,Primary (Early Age Diagnosis),G2
XPO4,Primary (Early Age Diagnosis),G2
YAE1D1,Primary (Early Age Diagnosis),G2
YKT6,Primary (Early Age Diagnosis),G2
ZAR1L,Primary (Early Age Diagnosis),G2
ZC3H13,Primary (Early Age Diagnosis),G2
ZDHHC20,Primary (Early Age Diagnosis),G2
ZDHHC4,Primary (Early Age Diagnosis),G2
ZFAND2A,Primary (Early Age Diagnosis),G2
ZMIZ2,Primary (Early Age Diagnosis),G2
ZMYM2,Primary (Early Age Diagnosis),G2
ZMYM5,Primary (Early Age Diagnosis),G2
ZNF12,Primary (Early Age Diagnosis),G2
